entities.media.source_status_id	19	282499424826048500	long	1
entities.media.source_status_id	19	282484109677314050	long	1
entities.media.source_status_id	19	258825648670392320	long	1
entities.media.source_status_id_str	19	282365395111915520	unicode	1
entities.media.source_status_id_str	19	282253443660394499	unicode	1
entities.media.source_status_id_str	19	282274597334814720	unicode	1
entities.media.source_status_id_str	19	282225316498386944	unicode	1
entities.media.source_status_id_str	19	282264537393152000	unicode	1
entities.media.type	1	photo	unicode	574
entities.media.url	574	http://t.co/xMftRVBO	unicode	1
entities.media.url	574	http://t.co/wrjIz5xE	unicode	1
entities.media.url	574	http://t.co/x43QmWkM	unicode	1
entities.media.url	574	http://t.co/xDmt4uXn	unicode	1
entities.media.url	574	http://t.co/xDomyLMW	unicode	1
entities.urls	1	list	list	118837
entities.urls.display_url	8251	twitzip.com/alerts/55513	unicode	86
entities.urls.display_url	8251	twitzip.com/alerts/55502	unicode	43
entities.urls.display_url	8251	twitzip.com/alerts/55491	unicode	41
entities.urls.display_url	8251	thepokeratlas.com/228	unicode	28
entities.urls.display_url	8251	twitzip.com/alerts/55356	unicode	28
entities.urls.expanded_url	8273	http://twitzip.com/alerts/55513	unicode	86
entities.urls.expanded_url	8273	http://twitzip.com/alerts/55502	unicode	43
entities.urls.expanded_url	8273	http://twitzip.com/alerts/55491	unicode	41
entities.urls.expanded_url	8273	http://thepokeratlas.com/228	unicode	28
entities.urls.expanded_url	8273	http://twitzip.com/alerts/55356	unicode	28
entities.urls.indices	1	list	list	8896
entities.urls.url	8673	http://t.co/f1mxW5ZT	unicode	28
entities.urls.url	8673	http://t.co/Sq2ekENu	unicode	17
entities.urls.url	8673	http://t.co/wqNXkiTL	unicode	16
entities.urls.url	8673	http://t.co/HW4VscNR	unicode	15
entities.urls.url	8673	http://t.co/OOJPftlM	unicode	15
entities.user_mentions	1	list	list	118837
entities.user_mentions.id	35367	14120151	int	157
entities.user_mentions.id	35367	27260086	int	74
entities.user_mentions.id	35367	105119490	int	69
entities.user_mentions.id	35367	17929027	int	45
entities.user_mentions.id	35367	20322929	int	24
entities.user_mentions.id_str	35367	14120151	unicode	157
entities.user_mentions.id_str	35367	27260086	unicode	74
entities.user_mentions.id_str	35367	105119490	unicode	69
entities.user_mentions.id_str	35367	17929027	unicode	45
entities.user_mentions.id_str	35367	20322929	unicode	24
entities.user_mentions.indices	1	list	list	42402
entities.user_mentions.name	34383	Foursquare	unicode	157
entities.user_mentions.name	34383	Justin Bieber	unicode	79
entities.user_mentions.name	34383	Niall Horan	unicode	73
entities.user_mentions.name	34383	Wale Folarin 	unicode	45
entities.user_mentions.name	34383	Wiz Khalifa	unicode	33
entities.user_mentions.screen_name	35367	foursquare	unicode	157
entities.user_mentions.screen_name	35367	justinbieber	unicode	74
entities.user_mentions.screen_name	35367	NiallOfficial	unicode	69
entities.user_mentions.screen_name	35367	Wale	unicode	45
entities.user_mentions.screen_name	35367	wizkhalifa	unicode	24
favorited	1	false	unicode	118837
geo	2	dict	dict	103696
geo	2	None	NoneType	15141
geo.coordinates	1	list	list	103696
geo.type	1	Point	unicode	103696
id	118657	282379253172027400	long	3
id	118657	282319886124994560	long	2
id	118657	282320045437235200	long	2
id	118657	282320088869253120	long	2
id	118657	282349595646902270	long	2
id_str	118822	282334620098383872	unicode	2
id_str	118822	282334620308086784	unicode	2
id_str	118822	282334620542959617	unicode	2
id_str	118822	282334620635242496	unicode	2
id_str	118822	282334619913822211	unicode	2
in_reply_to_screen_name	26644	None	NoneType	87312
in_reply_to_screen_name	26644	NiallOfficial	unicode	62
in_reply_to_screen_name	26644	justinbieber	unicode	32
in_reply_to_screen_name	26644	Wale	unicode	22
in_reply_to_screen_name	26644	AlfredoFlores	unicode	17
in_reply_to_status_id	26714	None	NoneType	91644
in_reply_to_status_id	26714	282409052166840320	long	30
in_reply_to_status_id	26714	282425606291996670	long	9
in_reply_to_status_id	26714	282295520473522180	long	7
in_reply_to_status_id	26714	282456582787309570	long	7
in_reply_to_status_id_str	26715	None	NoneType	91644
in_reply_to_status_id_str	26715	282409052166840320	unicode	30
in_reply_to_status_id_str	26715	282425606291996672	unicode	9
in_reply_to_status_id_str	26715	282199040916070400	unicode	7
in_reply_to_status_id_str	26715	282456582787309568	unicode	7
in_reply_to_user_id	26647	None	NoneType	87308
in_reply_to_user_id	26647	105119490	int	62
in_reply_to_user_id	26647	27260086	int	32
in_reply_to_user_id	26647	17929027	int	22
in_reply_to_user_id	26647	19743731	int	17
in_reply_to_user_id_str	26647	None	NoneType	87308
in_reply_to_user_id_str	26647	105119490	unicode	62
in_reply_to_user_id_str	26647	27260086	unicode	32
in_reply_to_user_id_str	26647	17929027	unicode	22
in_reply_to_user_id_str	26647	19743731	unicode	17
lang	33	en	unicode	99978
lang	33	es	unicode	4076
lang	33	und	unicode	2152
lang	33	id	unicode	1728
lang	33	pt	unicode	1475
limit	1	dict	dict	12
limit.track	12	208	int	1
limit.track	12	202	int	1
limit.track	12	131	int	1
limit.track	12	633	int	1
limit.track	12	635	int	1
place	2	dict	dict	118277
place	2	None	NoneType	560
place.attributes	1	dict	dict	118277
place.attributes.locality	70	Toronto	unicode	10
place.attributes.locality	70	Manhattan	unicode	7
place.attributes.locality	70	Vancouver	unicode	6
place.attributes.locality	70	Houston	unicode	4
place.attributes.locality	70	Washington	unicode	4
place.attributes.region	24	ON	unicode	20
place.attributes.region	24	California	unicode	15
place.attributes.region	24	New York	unicode	11
place.attributes.region	24	Texas	unicode	10
place.attributes.region	24	BC	unicode	7
place.attributes.street_address	1448	460 Hollybrook Ridge Ln	unicode	39
place.attributes.street_address	1448	2123 NE Kane Dr	unicode	14
place.attributes.street_address	1448	1428 Huron Way	unicode	5
place.attributes.street_address	1448	1540,Pelham Pkwy S	unicode	5
place.attributes.street_address	1448	4 Penn Plaza	unicode	4
place.bounding_box	2	dict	dict	118272
place.bounding_box	2	None	NoneType	5
place.bounding_box.coordinates	1	list	list	118272
place.bounding_box.type	1	Polygon	unicode	118272
place.country	7	United States	unicode	111632
place.country	7	Canada	unicode	4129
place.country	7	México	unicode	1956
place.country	7	Mexico	unicode	554
place.country	7	Messico	unicode	3
place.country_code	3	US	unicode	111632
place.country_code	3	CA	unicode	4129
place.country_code	3	MX	unicode	2516
place.full_name	13289	Los Angeles, CA	unicode	1941
place.full_name	13289	Georgia, US	unicode	1786
place.full_name	13289	Chicago, IL	unicode	1405
place.full_name	13289	Texas, US	unicode	1225
place.full_name	13289	South Carolina, US	unicode	1176
place.id	13290	3b77caf94bfc81fe	unicode	1941
place.id	13290	7142eb97ae21e839	unicode	1786
place.id	13290	1d9a5370a355ab0c	unicode	1405
place.id	13290	e0060cda70f5f341	unicode	1225
place.id	13290	6057f1e35bcc6c20	unicode	1176
place.name	10028	Los Angeles	unicode	1941
place.name	10028	Georgia	unicode	1787
place.name	10028	New York	unicode	1505
place.name	10028	Chicago	unicode	1415
place.name	10028	Texas	unicode	1228
place.place_type	5	city	unicode	99996
place.place_type	5	admin	unicode	16043
